initial_judgment_year,judgment_count,total_amount,mean_amount,median_amount,p75_amount,p90_amount,p95_amount,p99_amount,max_amount,fallback_year_count,review_required_count,mean_to_median_ratio,total_to_median_baseline_ratio,top10_share,top5_share,top1_share,largest_share,excluding_top1pct_total,excluding_largest_total,excluding_largest5_total,excluding_largest10_total
1990,203,390151.08,1921.9265024630542,1051.68,1580.36,2017.80,2035.70,5149.79,89031.07,0,9,1.8274822212679276,1.8274822212679276,0.5372678706925532,0.48532132731761246,0.43975436387360506,0.22819639509904727,218580.44,301120.01,213096.44,202838.44
1991,5613,7706161.02,1372.9130625334046,898.92,1816.47,2768.01,4072.19,5028.00,254347.30,0,144,1.5272917084205544,1.5272917084205542,0.35711811793935244,0.23482472988865732,0.09668228422250123,0.03300570794457653,6961111.77,7451813.72,7224318.68,7198416.82
1992,6294,13065737.90,2075.903701938354,1109.03,2316.97,3965.83,5017.72,11531.29,1150895.01,0,127,1.871819249198267,1.8718192491982668,0.4659358971221977,0.35492223137278756,0.2366680224007861,0.08808496074301322,9973495.55,11914842.89,11196745.34,10905466.72
1993,8936,25970016.83,2906.2239066696507,1589.00,3282.33,6251.81,10484.71,21471.25,220102.21,0,178,1.8289640696473572,1.8289640696473572,0.43926832064359506,0.3013973630143389,0.10022905518463618,0.008475243256128456,23367066.58,25749914.62,25496346.95,25336060.27
1994,9295,30365728.64,3266.8885034965033,1780.00,3721.75,7205.58,12023.49,23820.95,658404.58,0,144,1.8353306199418558,1.835330619941856,0.4429846755687796,0.30107612329634514,0.10406402057605953,0.02168248909175525,27205748.83,29707324.06,29555779.29,29392701.71
1995,8318,29307510.05,3523.3842329886993,1898.74,3975.00,7467.39,12148.56,22855.10,1733825.72,0,131,1.8556433387344762,1.8556433387344762,0.45587309420712796,0.322922832197408,0.1405237023880164,0.05915977566985429,25189110.23,27573684.33,27246458.33,27082525.40
1996,7902,27282393.22,3452.5934219185015,1985.58,4220.82,8031.39,12164.43,22747.92,132158.98,0,112,1.7388337019503126,1.7388337019503124,0.4136973101658125,0.2715104049072129,0.08172547408214506,0.004844112425706032,25052726.70,27150234.24,26968967.76,26815803.11
1997,7307,25279292.42,3459.599345832763,1884.08,4079.83,7923.03,12430.69,24598.95,61929.86,0,123,1.8362274138214743,1.8362274138214743,0.43101079804669623,0.28618580495853924,0.08534450031888986,0.002449825690176497,23121843.84,25217362.56,25008815.66,24826387.15
1998,6456,26191804.88,4056.9710161090456,2180.37,4676.50,9530.96,14426.27,25007.23,303050.22,0,116,1.8606800754500594,1.8606800754500592,0.43977436579009827,0.2975299944277838,0.1104613917695007,0.011570421411905386,23298621.66,25888754.66,25285474.85,24908760.04
1999,5845,27306785.99,4671.819673224979,2526.00,5020.00,9494.20,13924.90,25138.34,2821501.43,0,105,1.849493140627466,1.8494931406274657,0.4715748222700302,0.34969677733208765,0.1892690458662067,0.10332601687482593,22138456.66,24485284.56,23730730.10,23495394.57
2000,5520,23037012.68,4173.371862318841,2660.84,5026.00,9286.41,13164.75,23666.84,307249.04,0,94,1.5684414930318398,1.5684414930318398,0.3820641583290564,0.2500319190691178,0.08428927339549479,0.013337191078891223,21095239.62,22729763.64,22517027.24,22337205.25
2001,5743,60595379.39,10551.17175518022,2520.00,5026.00,10107.71,16084.95,62036.15,12491035.64,0,101,4.18697291872231,4.18697291872231,0.759881137861129,0.7000641921387267,0.6051063582589115,0.20613841790817114,23928730.04,48104343.75,36985952.75,32692357.68
2002,6189,131770377.90,21291.061221522054,2330.00,5095.84,15108.60,30168.43,296604.99,12662936.68,0,113,9.1377945156747,9.137794515674702,0.871212275623291,0.8227365934419164,0.6519821310309835,0.09609850773600916,45858446.11,119107441.22,97110700.87,82581170.59
2003,6065,275161408.56,45368.74007584501,2524.08,5132.00,14097.38,28593.55,216955.19,123917897.01,0,129,17.974366928086674,17.974366928086674,0.9385108097514676,0.9168732002074615,0.8501198737649026,0.45034620828007293,41241226.65,151243511.55,108552420.20,81400837.86
2004,5823,109109502.75,18737.678645028336,3282.00,7216.95,15623.90,25695.75,175981.11,12287234.00,0,109,5.709225668808147,5.709225668808147,0.8101841008527554,0.7580724418616234,0.6257020995359637,0.11261378422879853,40839457.80,96822268.75,70528297.28,60959946.47
2005,5556,137700892.30,24784.177879769617,3407.27,7316.34,14979.40,23730.81,172201.09,26908290.18,0,96,7.273910749594138,7.273910749594138,0.8537347085876508,0.8159122737217004,0.7310119557591276,0.19541115333789305,37039893.71,110792602.12,75292464.15,63760790.92
2006,5554,173331908.02,31208.481818509183,3898.93,7733.02,14842.27,24715.15,125213.38,30130784.00,0,110,8.004370896248249,8.004370896248249,0.8754041754533269,0.8453378616422617,0.7809333663734973,0.17383287557489613,37971237.59,143201124.02,63576504.60,53088317.33
2007,5913,105382040.76,17822.093820395738,3862.84,8176.90,17851.51,32895.10,183128.70,6600000.00,0,163,4.613728194902128,4.613728194902128,0.7647736783115225,0.6986765160268851,0.5361009925653674,0.06262926730590675,48886624.11,98782040.76,83084212.95,73496329.23
