entry_year,extraction_period,rule_version,source_field,entry_date_source_field,case_model,event_kind,status,rule_id,event_rows,case_count,money_mention_rows,total_amount_rows,unassigned_money_rows,unclassified_money_rows,dollar_token_missed_rows
2006,legacy_2000_2013,2.9.1,description,date_filed,family_multi_order,family_order_reference,reference,sfsc.strict_judgment_end_state.motion_or_brief,370,236,12,0,12,12,0
2006,legacy_2000_2013,2.9.1,description,date_filed,small_claims,appeal_reference,reference,sfsc.strict_judgment_end_state.appeal_reference,300,229,12,0,12,6,0
2006,legacy_2000_2013,2.9.1,description,date_filed,small_claims,judgment,operative,sfsc.strict_judgment_end_state.judgment_entered,1099,1030,11,0,11,8,0
2006,legacy_2000_2013,2.9.1,description,date_filed,civil_general,satisfaction,operative,sfsc.strict_judgment_end_state.satisfaction_filed,1088,1043,11,0,11,11,0
2006,legacy_2000_2013,2.9.1,docketEntryComment,filedDate,criminal,criminal_sentence,operative,sfsc.strict_judgment_end_state.criminal_ajw_sentence_shorthand,154,152,10,0,10,7,0
2006,legacy_2000_2013,2.9.1,description,date_filed,writ_or_mandate,judgment_reference,reference,sfsc.strict_judgment_end_state.motion_or_brief,116,44,10,0,10,1,0
2006,historical_pre_2000,2.9.1,description,date_filed,small_claims,writ_reference,reference,sfsc.strict_judgment_end_state.unresolved_end_state_mention,22,21,10,0,10,10,0
2006,legacy_2000_2013,2.9.1,description,date_filed,civil_general,judgment_reference,reference,sfsc.strict_judgment_end_state.hearing_setting,2162,1209,8,0,8,8,0
2006,legacy_2000_2013,2.9.1,description,date_filed,unlawful_detainer,writ_reference,reference,sfsc.strict_judgment_end_state.unresolved_end_state_mention,60,36,8,0,8,7,0
2006,legacy_2000_2013,2.9.1,description,date_filed,civil_general,writ_reference,reference,sfsc.strict_judgment_end_state.writ_filing_reference,37,31,8,0,8,7,0
2006,historical_pre_2000,2.9.1,description,date_filed,probate,probate_appointment_order,operative,sfsc.strict_judgment_end_state.probate_fiduciary_appointed,31,24,8,0,8,8,0
2006,legacy_2000_2013,2.9.1,description,date_filed,probate,probate_substituted_judgment_order,operative,sfsc.strict_judgment_end_state.probate_substituted_judgment_granted_observed,24,24,8,0,8,4,0
2006,legacy_2000_2013,2.9.1,description,date_filed,civil_general,vacatur_reference,reference,sfsc.strict_judgment_end_state.motion_or_brief,368,119,7,0,7,1,0
2006,legacy_2000_2013,2.9.1,description,date_filed,small_claims,settlement_reference,reference,sfsc.strict_judgment_end_state.unresolved_end_state_mention,73,68,7,0,7,7,0
2006,legacy_2000_2013,2.9.1,description,date_filed,civil_general,satisfaction_reference,reference,sfsc.strict_judgment_end_state.unresolved_end_state_mention,13,13,7,0,7,7,0
2006,legacy_2000_2013,2.9.1,docketEntryComment,filedDate,criminal,unknown_end_state,reference,sfsc.strict_judgment_end_state.criminal_diversion_progress_calendar,263,207,6,0,6,5,0
2006,legacy_2000_2013,2.9.1,description,date_filed,civil_general,verdict_recorded,operative,sfsc.strict_judgment_end_state.observed_verdict_returned_filed_or_entered,108,82,55,49,6,7,0
2006,historical_pre_2000,2.9.1,description,date_filed,probate,probate_letters_order,operative,sfsc.strict_judgment_end_state.probate_letters_granted_observed,13,13,6,0,6,1,0
2006,legacy_2000_2013,2.9.1,description,date_filed,small_claims,judgment_reference,reference,sfsc.strict_judgment_end_state.audited_judgment_cost_bill,6,6,6,0,6,0,0
2006,legacy_2000_2013,2.9.1,description,date_filed,civil_general,settlement,operative,sfsc.strict_judgment_end_state.case_reported_settled,1530,1161,6,1,5,3,0
2006,legacy_2000_2013,2.9.1,description,date_filed,criminal,unknown_end_state,reference,sfsc.strict_judgment_end_state.criminal_calendar_or_transfer_setting,1219,669,5,0,5,4,0
2006,legacy_2000_2013,2.9.1,description,date_filed,probate,probate_distribution_order,operative,sfsc.strict_judgment_end_state.probate_distribution_granted_observed,569,559,5,0,5,2,0
2006,legacy_2000_2013,2.9.1,description,date_filed,unlawful_detainer,possession,operative,sfsc.strict_judgment_end_state.observed_entered_possession_judgment,430,425,337,332,5,180,0
2006,legacy_2000_2013,2.9.1,description,date_filed,small_claims,amended_judgment,superseding,sfsc.strict_judgment_end_state.observed_amended_or_revised_judgment,211,211,178,173,5,13,0
2006,legacy_2000_2013,2.9.1,description,date_filed,civil_general,amended_judgment,superseding,sfsc.strict_judgment_end_state.observed_amended_or_revised_judgment,74,70,70,65,5,8,0
2006,unknown_period,2.9.1,description,date_filed,criminal,criminal_sentence,operative,sfsc.strict_judgment_end_state.criminal_ajw_sentence_shorthand,50,50,5,0,5,1,0
