entry_year,extraction_period,rule_version,source_field,case_model,event_kind,status,rule_id,review_reason_set,no_amount_rows,recorded_only_rows,money_mention_rows,component_amount_rows
2006,legacy_2000_2013,2.9.1,docketEntryComment,criminal,dismissal,operative,sfsc.strict_judgment_end_state.criminal_court_orders_cause_dismissed,,3,0,0,0
2006,legacy_2000_2013,2.9.1,description,probate,dismissal,operative,sfsc.strict_judgment_end_state.recorded_case_or_matter_dismissal,,3,0,0,0
2006,historical_pre_2000,2.9.1,description,civil_general,judgment,operative,sfsc.strict_judgment_end_state.judgment_entered,,3,0,0,0
2006,historical_pre_2000,2.9.1,description,civil_general,dismissal,operative,sfsc.strict_judgment_end_state.observed_whole_case_dismissal,,3,0,0,0
2006,legacy_2000_2013,2.9.1,description,probate,judgment,operative,sfsc.strict_judgment_end_state.judgment_entered,,3,0,0,0
2006,legacy_2000_2013,2.9.1,description,family_multi_order,judgment,operative,sfsc.strict_judgment_end_state.recorded_calendar_judgment_filed,,3,0,0,0
2006,legacy_2000_2013,2.9.1,description,unlawful_detainer,take_nothing,operative,sfsc.strict_judgment_end_state.take_nothing_judgment,,3,0,0,0
2006,legacy_2000_2013,2.9.1,docketEntryComment,criminal,dismissal,operative,sfsc.strict_judgment_end_state.criminal_observed_dismissal_result,,3,0,0,0
2006,unknown_period,2.9.1,description,criminal,dismissal,operative,sfsc.strict_judgment_end_state.criminal_motion_to_dismiss_granted,,3,0,0,0
2006,legacy_2000_2013,2.9.1,description,criminal,dismissal,operative,sfsc.strict_judgment_end_state.criminal_pc_991_motion_granted_count,,2,0,0,0
2006,historical_pre_2000,2.9.1,description,civil_general,name_change_decree,operative,sfsc.strict_judgment_end_state.legacy_name_change_result,,2,0,0,0
2006,historical_pre_2000,2.9.1,description,civil_general,dismissal,operative,sfsc.strict_judgment_end_state.direct_case_dismissed,,2,0,0,0
2006,legacy_2000_2013,2.9.1,description,civil_general,dismissal,operative,sfsc.strict_judgment_end_state.audited_prefixed_stipulated_dismissal_order,,2,0,0,0
2006,legacy_2000_2013,2.9.1,description,unlawful_detainer,dismissal,operative,sfsc.strict_judgment_end_state.calendar_removed_dismissal_filed,,2,0,0,0
2006,historical_pre_2000,2.9.1,description,probate,dismissal,operative,sfsc.strict_judgment_end_state.dismissal_entered,,2,0,0,0
2006,legacy_2000_2013,2.9.1,docketEntryComment,criminal,dismissal,operative,sfsc.strict_judgment_end_state.recorded_case_or_matter_dismissal,,2,0,0,0
2006,legacy_2000_2013,2.9.1,docketEntryComment,criminal,dismissal,operative,sfsc.strict_judgment_end_state.criminal_motion_to_dismiss_granted,,2,0,0,0
2006,legacy_2000_2013,2.9.1,description,probate,dismissal,operative,sfsc.strict_judgment_end_state.direct_case_dismissed,,2,0,0,0
2006,legacy_2000_2013,2.9.1,docketEntryComment,criminal,dismissal,operative,sfsc.strict_judgment_end_state.direct_case_dismissed,,2,0,0,0
2011,legacy_2000_2013,2.9.1,description,civil_general,dismissal,operative,sfsc.strict_judgment_end_state.dismissal_entered,,3395,1714,0,0
2011,legacy_2000_2013,2.9.1,description,small_claims,dismissal,operative,sfsc.strict_judgment_end_state.direct_case_dismissed,,688,91,0,0
2011,legacy_2000_2013,2.9.1,description,unlawful_detainer,judgment,operative,sfsc.strict_judgment_end_state.judgment_entered,,103,55,0,0
2011,legacy_2000_2013,2.9.1,description,civil_general,judgment,operative,sfsc.strict_judgment_end_state.judgment_entered,,147,39,7,7
2011,legacy_2000_2013,2.9.1,description,small_claims,judgment,operative,sfsc.strict_judgment_end_state.judgment_entered,,544,30,0,0
2011,legacy_2000_2013,2.9.1,description,unlawful_detainer,judgment,operative,sfsc.strict_judgment_end_state.operative_adjudged_formula,,916,17,0,0
2011,legacy_2000_2013,2.9.1,description,civil_general,dismissal,operative,sfsc.strict_judgment_end_state.direct_case_dismissed,,490,12,1,1
2011,legacy_2000_2013,2.9.1,description,small_claims,dismissal,operative,sfsc.strict_judgment_end_state.dismissal_entered,,58,12,0,0
2011,legacy_2000_2013,2.9.1,description,unlawful_detainer,dismissal,operative,sfsc.strict_judgment_end_state.dismissal_entered,,185,10,0,0
2011,legacy_2000_2013,2.9.1,description,civil_general,dismissal,operative,sfsc.strict_judgment_end_state.court_dismissal_order_caption,,26,5,0,0
2011,legacy_2000_2013,2.9.1,description,writ_or_mandate,judgment,operative,sfsc.strict_judgment_end_state.judgment_entered,,83,4,39,39
2011,legacy_2000_2013,2.9.1,description,civil_general,dismissal,operative,sfsc.strict_judgment_end_state.observed_whole_case_dismissal,,4942,4,0,0
2011,legacy_2000_2013,2.9.1,description,civil_general,take_nothing,operative,sfsc.strict_judgment_end_state.take_nothing_judgment,,86,3,1,1
2011,legacy_2000_2013,2.9.1,description,civil_general,dismissal,operative,sfsc.strict_judgment_end_state.recorded_case_or_matter_dismissal,,35,3,0,0
2011,legacy_2000_2013,2.9.1,description,unlawful_detainer,possession,operative,sfsc.strict_judgment_end_state.possession_judgment,,7,3,0,0
2011,legacy_2000_2013,2.9.1,description,unlawful_detainer,possession,operative,sfsc.strict_judgment_end_state.observed_entered_possession_judgment,,109,2,1,1
2011,legacy_2000_2013,2.9.1,description,unlawful_detainer,dismissal,operative,sfsc.strict_judgment_end_state.direct_case_dismissed,,26,2,0,0
2011,historical_pre_2000,2.9.1,description,civil_general,dismissal,operative,sfsc.strict_judgment_end_state.dismissal_entered,,14,1,0,0
2011,legacy_2000_2013,2.9.1,description,small_claims,dismissal,operative,sfsc.strict_judgment_end_state.recorded_case_or_matter_dismissal,,9,1,0,0
2011,legacy_2000_2013,2.9.1,description,civil_general,dismissal,operative,sfsc.strict_judgment_end_state.observed_entire_action_dismissal_filed,,4,1,0,0
2011,legacy_2000_2013,2.9.1,description,unlawful_detainer,take_nothing,operative,sfsc.strict_judgment_end_state.take_nothing_judgment,,3,1,0,0
2011,legacy_2000_2013,2.9.1,description,civil_general,amended_judgment,superseding,sfsc.strict_judgment_end_state.observed_amended_or_revised_judgment,,3,1,0,0
2011,legacy_2000_2013,2.9.1,description,writ_or_mandate,judgment,operative,sfsc.strict_judgment_end_state.judgment_entered,unclassified_money_mentions,77,0,77,46
2011,legacy_2000_2013,2.9.1,description,criminal,dismissal,operative,sfsc.strict_judgment_end_state.criminal_mo138572_companion_case_dismissal,unclassified_money_mentions,3,0,3,0
2011,legacy_2000_2013,2.9.1,description,criminal,dismissal,operative,sfsc.strict_judgment_end_state.criminal_pc1385_portal_dismissal,unclassified_money_mentions,3,0,3,0
2011,legacy_2000_2013,2.9.1,description,probate,dismissal,operative,sfsc.strict_judgment_end_state.probate_creditor_claim_dismissed,unclassified_money_mentions,3,0,3,0
2011,legacy_2000_2013,2.9.1,description,small_claims,judgment,operative,sfsc.strict_judgment_end_state.judgment_entered,unclassified_money_mentions,2,0,2,0
2011,legacy_2000_2013,2.9.1,description,civil_general,judgment,operative,sfsc.strict_judgment_end_state.judgment_entered,unclassified_money_mentions,2,0,2,0
2011,legacy_2000_2013,2.9.1,description,unlawful_detainer,judgment,operative,sfsc.strict_judgment_end_state.judgment_entered,unclassified_money_mentions,2,0,2,0
2011,legacy_2000_2013,2.9.1,description,small_claims,dismissal,operative,sfsc.strict_judgment_end_state.court_orders_dismissal,,299,0,1,1
