original_event_year,case_model,recorded_event_kind,selected_original_events,original_total_count,recorded_amount_but_original_missing_count,no_original_or_recorded_amount_count,recorded_only_median,recorded_only_median_event_year
1993,unlawful_detainer,dismissal,963,1,1,961,80.00,1993.0
1993,appellate_review,dismissal,5,0,0,5,,
1993,civil_general,declaratory/injunctive,1,0,0,1,,
1993,civil_general,default_judgment,45,0,0,45,,
1993,civil_general,dismissal,9148,2,0,9146,,
1993,civil_general,judgment,380,0,0,380,,
1993,civil_general,judgment_of_dismissal,43,0,0,43,,
1993,civil_general,name_change_decree,310,0,0,310,,
1993,civil_general,possession,2,0,0,2,,
1993,criminal,dismissal,1092,0,0,1092,,
1993,family_domestic_violence,dismissal,15,0,0,15,,
1993,family_multi_order,dismissal,1558,0,0,1558,,
1993,family_multi_order,judgment,53,0,0,53,,
1993,probate,amended_judgment,1,0,0,1,,
1993,probate,dismissal,35,0,0,35,,
1993,probate,judgment,6,0,0,6,,
1993,small_claims,dismissal,1347,6,0,1341,,
1993,small_claims,judgment,2592,1,0,2591,,
1993,small_claims,judgment_of_dismissal,2,2,0,0,,
1993,small_claims,renewal,1,1,0,0,,
1993,small_claims,take_nothing,2,0,0,2,,
1993,unknown,dismissal,1,0,0,1,,
1993,unlawful_detainer,default_judgment,1,0,0,1,,
1993,unlawful_detainer,judgment,1246,1,0,1245,,
1993,unlawful_detainer,take_nothing,26,4,0,22,,
1993,writ_or_mandate,default_judgment,1,0,0,1,,
1993,writ_or_mandate,dismissal,93,0,0,93,,
1993,writ_or_mandate,judgment,83,0,0,83,,
1993,writ_or_mandate,monetary_judgment,1,1,0,0,,
1994,civil_general,monetary_judgment,3359,2970,389,0,4484.47,1994.0
1994,unlawful_detainer,possession,1805,1084,191,530,2513.83,1994.0
1994,small_claims,monetary_judgment,4665,4566,99,0,800.50,1994.0
1994,unlawful_detainer,amended_judgment,56,11,40,5,2965.15,1994.0
1994,civil_general,renewal,178,147,31,0,22241.30,2004.0
1994,small_claims,amended_judgment,441,422,12,7,674.47,1995.0
1994,civil_general,amended_judgment,24,13,10,1,10828.12,1994.5
1994,civil_general,take_nothing,77,16,10,51,1048.64,1994.0
1994,civil_general,dismissal,9104,3,1,9100,194.00,1995.0
1994,unlawful_detainer,renewal,5,4,1,0,20343.04,2005.0
1994,unlawful_detainer,take_nothing,23,8,1,14,55.00,1994.0
1994,writ_or_mandate,renewal,1,0,1,0,400156.72,2003.0
1994,appellate_review,dismissal,8,0,0,8,,
1994,civil_general,default_judgment,26,0,0,26,,
1994,civil_general,judgment,328,2,0,326,,
1994,civil_general,judgment_of_dismissal,35,0,0,35,,
1994,civil_general,name_change_decree,332,0,0,332,,
1994,civil_general,possession,2,1,0,1,,
1994,criminal,dismissal,1241,0,0,1241,,
1994,family_domestic_violence,dismissal,14,0,0,14,,
1994,family_multi_order,dismissal,1152,0,0,1152,,
1994,family_multi_order,judgment,44,0,0,44,,
1994,family_multi_order,monetary_judgment,1,1,0,0,,
1994,probate,dismissal,40,0,0,40,,
1994,probate,judgment,2,0,0,2,,
1994,small_claims,dismissal,1225,7,0,1218,,
1994,small_claims,judgment,2499,0,0,2499,,
1994,small_claims,possession,1,1,0,0,,
1994,small_claims,take_nothing,2,0,0,2,,
1994,unknown,dismissal,1,0,0,1,,
1994,unlawful_detainer,default_judgment,1,0,0,1,,
1994,unlawful_detainer,dismissal,1036,0,0,1036,,
1994,unlawful_detainer,judgment,1367,0,0,1367,,
1994,unlawful_detainer,monetary_judgment,4,3,0,1,,
1994,writ_or_mandate,declaratory/injunctive,1,0,0,1,,
1994,writ_or_mandate,dismissal,74,0,0,74,,
1994,writ_or_mandate,judgment,85,0,0,85,,
