event_year,case_model,event_kind,extraction_period,source_field,operative_event_count,parsed_total_count,recognized_money_event_count,recognized_money_without_total_count,explicit_currency_not_recognized_count,unmarked_numeric_context_count
1999,civil_general,monetary_judgment,historical_pre_2000,description,2940,2938,2939,1,0,0
1999,small_claims,monetary_judgment,historical_pre_2000,description,2845,2845,2845,0,0,0
1999,small_claims,judgment,historical_pre_2000,description,2221,0,8,8,0,0
1999,unlawful_detainer,judgment,historical_pre_2000,description,1084,1,10,9,0,0
1999,unlawful_detainer,possession,historical_pre_2000,description,1030,686,726,40,0,0
1999,civil_general,judgment,historical_pre_2000,description,459,2,13,11,0,0
1999,small_claims,amended_judgment,historical_pre_2000,description,331,261,273,12,0,0
1999,civil_general,take_nothing,historical_pre_2000,description,91,35,38,3,0,0
1999,family_multi_order,judgment,historical_pre_2000,description,82,0,7,7,0,0
1999,civil_general,default_judgment,historical_pre_2000,description,68,1,31,30,0,0
1999,writ_or_mandate,judgment,historical_pre_2000,description,68,0,2,2,0,0
1999,unlawful_detainer,take_nothing,historical_pre_2000,description,36,18,21,3,0,0
1999,civil_general,amended_judgment,historical_pre_2000,description,32,27,28,1,0,0
1999,unlawful_detainer,amended_judgment,historical_pre_2000,description,23,15,17,2,0,0
1999,unlawful_detainer,monetary_judgment,historical_pre_2000,description,17,9,10,1,0,0
1999,family_multi_order,default_judgment,historical_pre_2000,description,10,0,1,1,0,0
1999,unlawful_detainer,default_judgment,historical_pre_2000,description,5,0,0,0,0,0
1999,probate,judgment,historical_pre_2000,description,3,0,0,0,0,0
1999,family_multi_order,amended_judgment,historical_pre_2000,description,2,0,0,0,0,0
1999,civil_general,declaratory/injunctive,historical_pre_2000,description,1,0,1,1,0,0
1999,civil_general,possession,historical_pre_2000,description,1,1,1,0,0,0
1999,unknown,take_nothing,unknown_period,description,1,1,1,0,0,0
2000,civil_general,monetary_judgment,legacy_2000_2013,description,2150,2149,2150,1,0,0
2000,small_claims,monetary_judgment,legacy_2000_2013,description,1989,1989,1989,0,0,0
2000,small_claims,judgment,legacy_2000_2013,description,1676,0,7,7,0,0
2000,unlawful_detainer,judgment,legacy_2000_2013,description,1098,0,19,19,0,0
2000,civil_general,monetary_judgment,historical_pre_2000,description,954,953,954,1,0,0
2000,unlawful_detainer,possession,legacy_2000_2013,description,675,421,435,14,0,0
2000,small_claims,monetary_judgment,historical_pre_2000,description,553,553,553,0,0,0
2000,small_claims,judgment,historical_pre_2000,description,470,0,6,6,0,0
2000,civil_general,judgment,historical_pre_2000,description,430,1,18,17,0,0
2000,small_claims,amended_judgment,historical_pre_2000,description,250,187,204,17,0,0
2000,unlawful_detainer,possession,historical_pre_2000,description,213,160,166,6,0,0
2000,civil_general,judgment,legacy_2000_2013,description,135,0,0,0,0,0
2000,family_multi_order,judgment,historical_pre_2000,description,97,0,9,9,0,0
2000,unlawful_detainer,judgment,historical_pre_2000,description,96,1,5,4,0,0
2000,civil_general,take_nothing,historical_pre_2000,description,58,21,24,3,0,0
