event_year,case_model,extraction_period,source_field,amount_format_cohort,event_count
1997,criminal,historical_pre_2000,docketEntryComment,recognized_money_but_no_total,4
1997,family_domestic_violence,historical_pre_2000,description,no_amount_signal,4
1997,family_multi_order,historical_pre_2000,description,recognized_money_but_no_total,2
1997,civil_general,legacy_2000_2013,description,no_amount_signal,1
1998,civil_general,historical_pre_2000,description,no_amount_signal,9500
1998,small_claims,historical_pre_2000,description,no_amount_signal,3030
1998,unlawful_detainer,historical_pre_2000,description,no_amount_signal,2942
1998,criminal,historical_pre_2000,description,no_amount_signal,2844
1998,family_multi_order,historical_pre_2000,description,no_amount_signal,402
1998,criminal,historical_pre_2000,description,recognized_money_but_no_total,210
1998,writ_or_mandate,historical_pre_2000,description,no_amount_signal,146
1998,unlawful_detainer,historical_pre_2000,description,recognized_money_but_no_total,49
1998,probate,historical_pre_2000,description,no_amount_signal,32
1998,civil_general,historical_pre_2000,description,recognized_money_but_no_total,31
1998,appellate_review,historical_pre_2000,description,no_amount_signal,17
1998,criminal,unknown_period,description,no_amount_signal,12
1998,family_domestic_violence,historical_pre_2000,description,no_amount_signal,8
1998,small_claims,historical_pre_2000,description,recognized_money_but_no_total,8
1998,criminal,historical_pre_2000,docketEntryComment,no_amount_signal,4
1998,family_multi_order,historical_pre_2000,description,recognized_money_but_no_total,3
1998,civil_general,legacy_2000_2013,description,no_amount_signal,2
1998,criminal,historical_pre_2000,description,explicit_currency_not_recognized,2
1998,criminal,legacy_2000_2013,description,no_amount_signal,1
1998,unknown,unknown_period,description,no_amount_signal,1
1999,civil_general,historical_pre_2000,description,no_amount_signal,9244
1999,small_claims,historical_pre_2000,description,no_amount_signal,2790
1999,unlawful_detainer,historical_pre_2000,description,no_amount_signal,2448
1999,criminal,historical_pre_2000,description,no_amount_signal,2209
1999,family_multi_order,historical_pre_2000,description,no_amount_signal,280
1999,writ_or_mandate,historical_pre_2000,description,no_amount_signal,100
1999,criminal,historical_pre_2000,description,recognized_money_but_no_total,71
1999,unlawful_detainer,historical_pre_2000,description,recognized_money_but_no_total,50
1999,civil_general,historical_pre_2000,description,recognized_money_but_no_total,44
1999,probate,historical_pre_2000,description,no_amount_signal,40
1999,criminal,historical_pre_2000,docketEntryComment,no_amount_signal,17
1999,appellate_review,historical_pre_2000,description,no_amount_signal,16
1999,small_claims,historical_pre_2000,description,recognized_money_but_no_total,9
1999,family_multi_order,historical_pre_2000,description,recognized_money_but_no_total,8
1999,criminal,unknown_period,description,no_amount_signal,7
1999,criminal,historical_pre_2000,description,explicit_currency_not_recognized,5
1999,family_domestic_violence,historical_pre_2000,description,no_amount_signal,5
1999,criminal,historical_pre_2000,docketEntryComment,recognized_money_but_no_total,2
1999,writ_or_mandate,historical_pre_2000,description,recognized_money_but_no_total,2
1999,criminal,unknown_period,description,recognized_money_but_no_total,1
2000,civil_general,historical_pre_2000,description,no_amount_signal,5389
2000,civil_general,legacy_2000_2013,description,no_amount_signal,4061
2000,unlawful_detainer,legacy_2000_2013,description,no_amount_signal,2162
2000,small_claims,legacy_2000_2013,description,no_amount_signal,2119
2000,criminal,legacy_2000_2013,description,no_amount_signal,938
2000,criminal,historical_pre_2000,description,no_amount_signal,822
2000,small_claims,historical_pre_2000,description,no_amount_signal,457
2000,unlawful_detainer,historical_pre_2000,description,no_amount_signal,452
2000,family_multi_order,historical_pre_2000,description,no_amount_signal,107
2000,writ_or_mandate,historical_pre_2000,description,no_amount_signal,71
2000,writ_or_mandate,legacy_2000_2013,description,no_amount_signal,48
2000,family_multi_order,legacy_2000_2013,description,no_amount_signal,43
2000,unlawful_detainer,legacy_2000_2013,description,recognized_money_but_no_total,37
2000,probate,historical_pre_2000,description,no_amount_signal,31
2000,criminal,historical_pre_2000,description,recognized_money_but_no_total,15
2000,civil_general,historical_pre_2000,description,recognized_money_but_no_total,14
2000,family_domestic_violence,legacy_2000_2013,description,no_amount_signal,14
2000,criminal,unknown_period,description,no_amount_signal,13
2000,unlawful_detainer,historical_pre_2000,description,recognized_money_but_no_total,11
2000,family_multi_order,historical_pre_2000,description,recognized_money_but_no_total,8
