event_year,case_model,selected_original_events,likely_monetary_events,parsed_total_count,recognized_money_without_total_count,explicit_currency_not_recognized_count,unmarked_numeric_context_count,parsed_total_pct_of_likely_monetary,median_parsed_total
2004,writ_or_mandate,685,446,425,21,0,0,95.29,9602.60
2005,appellate_review,2,0,0,0,0,0,,
2005,civil_general,10898,467,433,30,0,0,92.72,10702.74
2005,criminal,2356,5,0,5,0,0,0.0,
2005,family_domestic_violence,3,0,0,0,0,0,,
2005,family_multi_order,905,4,0,0,0,0,0.0,
2005,probate,51,2,1,0,0,0,50.0,1050070.00
2005,small_claims,3786,2247,2088,159,0,0,92.92,1510.00
2005,unlawful_detainer,2338,299,287,10,0,0,95.99,2630.30
2005,writ_or_mandate,711,540,418,121,0,0,77.41,7810.53
2006,appellate_review,1,0,0,0,0,0,,
2006,civil_general,11308,755,737,17,0,0,97.62,8538.98
2006,criminal,1705,5,0,5,0,0,0.0,
2006,family_domestic_violence,4,0,0,0,0,0,,
2006,family_multi_order,820,3,0,0,0,0,0.0,
2006,probate,29,0,0,0,0,0,,
2006,small_claims,3400,1889,1876,12,0,0,99.31,1770.22
2006,unlawful_detainer,2030,266,260,5,0,0,97.74,3025.31
2006,writ_or_mandate,597,459,372,87,0,0,81.05,6859.03
2007,civil_general,11820,576,561,13,0,0,97.4,9692.42
2007,criminal,1554,2,0,2,0,0,0.0,
2007,family_domestic_violence,6,0,0,0,0,0,,
2007,family_multi_order,697,7,0,0,0,0,0.0,
2007,probate,24,2,2,0,0,0,100.0,2250512.51
2007,small_claims,3436,1859,1847,12,0,0,99.35,1732.79
2007,unlawful_detainer,2089,254,248,5,0,0,97.64,2972.73
2007,writ_or_mandate,631,465,407,57,0,0,87.53,7215.62
2008,civil_general,12706,522,504,16,0,0,96.55,8812.60
2008,criminal,1616,3,0,3,0,0,0.0,
2008,family_domestic_violence,5,0,0,0,0,0,,
2008,family_multi_order,1054,5,0,0,0,0,0.0,
2008,probate,25,1,1,0,0,0,100.0,1340000.00
2008,small_claims,3118,1479,1469,10,0,0,99.32,1878.00
2008,unlawful_detainer,2050,290,279,7,0,0,96.21,2911.52
2008,writ_or_mandate,908,707,645,62,0,0,91.23,8616.68
2009,civil_general,13150,504,487,16,0,0,96.63,10000.00
2009,criminal,1551,6,0,6,0,0,0.0,
2009,family_domestic_violence,4,0,0,0,0,0,,
2009,family_multi_order,1029,3,0,0,0,0,0.0,
2009,probate,25,2,1,0,0,0,50.0,110000.00
2009,small_claims,3884,1674,1657,17,0,0,98.98,2012.40
2009,unknown,1,1,0,1,0,0,0.0,
2009,unlawful_detainer,1734,174,169,4,0,0,97.13,3250.71
2009,writ_or_mandate,652,521,445,76,0,0,85.41,9095.35
2010,civil_general,13281,559,546,13,0,0,97.67,9020.88
2010,criminal,1930,3,0,3,0,0,0.0,
2010,family_domestic_violence,2,0,0,0,0,0,,
2010,family_multi_order,533,6,0,0,0,0,0.0,
2010,probate,20,3,1,2,0,0,33.33,65000.00
2010,small_claims,3957,1601,1588,13,0,0,99.19,1879.87
2010,unlawful_detainer,1769,177,173,3,0,0,97.74,3449.00
2010,writ_or_mandate,627,507,426,81,0,0,84.02,8380.10
2011,civil_general,10893,875,860,11,0,0,98.29,7575.93
2011,criminal,1724,7,0,7,0,0,0.0,
2011,family_domestic_violence,3,0,0,0,0,0,,
2011,family_multi_order,595,1,0,0,0,0,0.0,
2011,probate,17,4,0,3,0,0,0.0,
2011,small_claims,3407,1303,1300,3,0,0,99.77,2249.59
2011,unlawful_detainer,1901,147,144,3,0,0,97.96,3410.00
2011,writ_or_mandate,696,580,463,117,0,0,79.83,8329.80
2012,civil_general,10027,565,550,12,1,0,97.35,7870.04
2012,criminal,1138,8,0,5,3,0,0.0,
2012,family_domestic_violence,6,0,0,0,0,0,,
2012,family_multi_order,457,7,0,0,0,0,0.0,
2012,probate,50,1,0,1,0,0,0.0,
2012,small_claims,3204,1211,1201,10,0,0,99.17,2180.00
2012,unlawful_detainer,1630,128,118,9,0,0,92.19,2945.50
2012,writ_or_mandate,615,500,445,55,0,0,89.0,10000.00
2013,civil_general,9747,717,706,7,0,0,98.47,7112.69
2013,criminal,1262,5,0,3,2,0,0.0,
2013,family_domestic_violence,3,0,0,0,0,0,,
2013,family_multi_order,454,13,0,0,0,0,0.0,
2013,probate,50,1,1,0,0,0,100.0,553074.67
2013,small_claims,3105,1185,1174,11,0,0,99.07,2395.76
2013,unlawful_detainer,1200,81,73,8,0,0,90.12,2990.00
2013,writ_or_mandate,527,408,347,60,0,0,85.05,10827.92
2014,civil_general,7982,377,368,5,0,0,97.61,7357.49
2014,criminal,865,11,0,10,1,0,0.0,
2014,family_domestic_violence,7,0,0,0,0,0,,
2014,family_multi_order,357,16,0,0,0,0,0.0,
2014,probate,64,0,0,0,0,0,,
2014,small_claims,2845,1092,1076,16,0,0,98.53,2500.00
2014,unlawful_detainer,1112,76,76,0,0,0,100.0,2479.86
2014,writ_or_mandate,442,316,292,23,0,0,92.41,12478.01
